base_prompt,source_prompt
"<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 204+432?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 204+432?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 204 + 432. Let's do it: 204 + 432 = 204 + 400 + 30 + 2 = 204 + 400 = 604, 604 + 30 = 634, 634 + 2 = 636. So the sum is 636. In final, output only ""636"".<|end|><|start|>assistant<|channel|>final<|message|>","<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 281+700?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 281+700?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 281 + 700. Let's do it: 281 + 700 = 281 + 700 = 281 + 700 = 981. So the sum is 981. In final, output only ""981"".<|end|><|start|>assistant<|channel|>final<|message|>"
"<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 233+990?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 233+990?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 233 + 990. Let's do it: 233 + 990 = 233 + 900 + 90 = 233 + 900 = 1133, 1133 + 90 = 1223. So the sum is 1223. In final, output only ""1223"".<|end|><|start|>assistant<|channel|>final<|message|>","<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 938+737?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 938+737?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 938 + 737. Let's do it: 938 + 737 = 938 + 700 + 30 + 7 = 938 + 700 = 1638, 1638 + 30 = 1668, 1668 + 7 = 1675. So the sum is 1675. In final, output only ""1675"".<|end|><|start|>assistant<|channel|>final<|message|>"
"<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 502+754?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 502+754?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 502 + 754. Let's do it: 502 + 754 = 502 + 700 + 50 + 4 = 502 + 700 = 1202, 1202 + 50 = 1252, 1252 + 4 = 1256. So the sum is 1256. In final, output only ""1256"".<|end|><|start|>assistant<|channel|>final<|message|>","<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 335+216?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 335+216?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 335 + 216. Let's do it: 335 + 216 = 335 + 200 + 10 + 6 = 335 + 200 = 535, 535 + 10 = 545, 545 + 6 = 551. So the sum is 551. In final, output only ""551"".<|end|><|start|>assistant<|channel|>final<|message|>"
"<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 255+507?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 255+507?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 255 + 507. Let's do it: 255 + 507 = 255 + 500 + 7 = 255 + 500 = 755, 755 + 7 = 762. So the sum is 762. In final, output only ""762"".<|end|><|start|>assistant<|channel|>final<|message|>","<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 916+284?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 916+284?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 916 + 284. Let's do it: 916 + 284 = 916 + 200 + 80 + 4 = 916 + 200 = 1116, 1116 + 80 = 1196, 1196 + 4 = 1200. So the sum is 1200. In final, output only ""1200"".<|end|><|start|>assistant<|channel|>final<|message|>"
"<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 693+203?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 693+203?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 693 + 203. Let's do it: 693 + 203 = 693 + 200 + 3 = 693 + 200 = 893, 893 + 3 = 896. So the sum is 896. In final, output only ""896"".<|end|><|start|>assistant<|channel|>final<|message|>","<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 513+264?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 513+264?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 513 + 264. Let's do it: 513 + 264 = 513 + 200 + 60 + 4 = 513 + 200 = 713, 713 + 60 = 773, 773 + 4 = 777. So the sum is 777. In final, output only ""777"".<|end|><|start|>assistant<|channel|>final<|message|>"
"<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 852+653?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 852+653?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 852 + 653. Let's do it: 852 + 653 = 852 + 600 + 50 + 3 = 852 + 600 = 1452, 1452 + 50 = 1502, 1502 + 3 = 1505. So the sum is 1505. In final, output only ""1505"".<|end|><|start|>assistant<|channel|>final<|message|>","<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 519+383?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 519+383?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 519 + 383. Let's do it: 519 + 383 = 519 + 300 + 80 + 3 = 519 + 300 = 819, 819 + 80 = 899, 899 + 3 = 902. So the sum is 902. In final, output only ""902"".<|end|><|start|>assistant<|channel|>final<|message|>"
"<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 376+583?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 376+583?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 376 + 583. Let's do it: 376 + 583 = 376 + 500 + 80 + 3 = 376 + 500 = 876, 876 + 80 = 956, 956 + 3 = 959. So the sum is 959. In final, output only ""959"".<|end|><|start|>assistant<|channel|>final<|message|>","<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 603+156?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 603+156?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 603 + 156. Let's do it: 603 + 156 = 603 + 100 + 50 + 6 = 603 + 100 = 703, 703 + 50 = 753, 753 + 6 = 759. So the sum is 759. In final, output only ""759"".<|end|><|start|>assistant<|channel|>final<|message|>"
"<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 513+637?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 513+637?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 513 + 637. Let's do it: 513 + 637 = 513 + 600 + 30 + 7 = 513 + 600 = 1113, 1113 + 30 = 1143, 1143 + 7 = 1150. So the sum is 1150. In final, output only ""1150"".<|end|><|start|>assistant<|channel|>final<|message|>","<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 772+523?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 772+523?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 772 + 523. Let's do it: 772 + 523 = 772 + 500 + 20 + 3 = 772 + 500 = 1272, 1272 + 20 = 1292, 1292 + 3 = 1295. So the sum is 1295. In final, output only ""1295"".<|end|><|start|>assistant<|channel|>final<|message|>"
"<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 984+796?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 984+796?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 984 + 796. Let's do it: 984 + 796 = 984 + 700 + 90 + 6 = 984 + 700 = 1684, 1684 + 90 = 1774, 1774 + 6 = 1780. So the sum is 1780. In final, output only ""1780"".<|end|><|start|>assistant<|channel|>final<|message|>","<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 632+971?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 632+971?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 632 + 971. Let's do it: 632 + 971 = 632 + 900 + 70 + 1 = 632 + 900 = 1532, 1532 + 70 = 1602, 1602 + 1 = 1603. So the sum is 1603. In final, output only ""1603"".<|end|><|start|>assistant<|channel|>final<|message|>"
"<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 112+369?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 112+369?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 112 + 369. Let's do it: 112 + 369 = 112 + 300 + 60 + 9 = 112 + 300 = 412, 412 + 60 = 472, 472 + 9 = 481. So the sum is 481. In final, output only ""481"".<|end|><|start|>assistant<|channel|>final<|message|>","<|start|>system<|message|>You are ChatGPT, a large language model trained by OpenAI.
Knowledge cutoff: 2024-06
Current date: 2025-06-28

Reasoning: high
=
# Valid channels: analysis, commentary, final. Channel must be included for every message.<|end|><|start|>developer<|message|># Instruction: In analysis, add two numbers stepwise. In final, output only the sum.<|end|><|start|>user<|message|>What is 266+884?<|end|><|start|>assistant<|channel|>analysis<|message|>The user asks: ""What is 266+884?"" The instruction from the developer says: ""In the analysis, add two numbers stepwise. For the final output, output only the sum."" So we need to do the addition stepwise in the analysis, and then in the final output, just output the sum."" So I need to do stepwise addition in analysis, then output only the sum in final. So in analysis, I will show the stepwise addition: 266 + 884. Let's do it: 266 + 884 = 266 + 800 + 80 + 4 = 266 + 800 = 1066, 1066 + 80 = 1146, 1146 + 4 = 1150. So the sum is 1150. In final, output only ""1150"".<|end|><|start|>assistant<|channel|>final<|message|>"
